Team,MatchesPlayed
Algeria,4
Argentina,8
Australia,4
Austria,4
Belgium,6
Bosnia and Herzegovina,4
Brazil,5
Cabo Verde,4
Canada,5
Colombia,5
Congo DR,4
Cote dIvoire / Ivory Coast,4
Croatia,4
Curacao,3
Czechia,3
Ecuador,4
Egypt,5
England,8
France,8
Germany,4
Ghana,4
Haiti,3
IR Iran,3
Iraq,3
Japan,4
Jordan,3
Korea Republic,3
Mexico,5
Morocco,6
Netherlands,4
New Zealand,3
Norway,6
Panama,3
Paraguay,5
Portugal,5
Qatar,3
Saudi Arabia,3
Scotland,3
Senegal,4
South Africa,4
Spain,8
Sweden,4
Switzerland,6
Tunisia,3
Turkey,3
Uruguay,3
USA,5
Uzbekistan,3
