Team,FoulsAgainst,FoulsFor,YellowCards,RedCards,IndirectRedCards,Offsides
Argentina,113,100,15,1,1,22
Spain,101,89,6,0,0,21
Switzerland,87,89,8,1,1,13
France,84,74,6,0,0,14
England,81,116,8,1,0,15
Belgium,78,68,6,1,0,8
Morocco,74,88,7,0,0,9
Canada,72,71,11,0,0,7
Colombia,70,64,8,0,0,19
Paraguay,66,61,9,1,0,5
Bosnia and Herzegovina,59,37,7,1,0,2
Egypt,59,67,12,0,0,4
Norway,58,41,3,0,0,5
Mexico,58,48,4,1,0,5
USA,56,64,7,1,0,11
Ghana,56,47,6,0,0,8
Japan,55,31,4,0,0,4
Haiti,55,43,7,0,0,7
Brazil,51,54,8,0,0,11
Germany,51,42,3,0,0,4
Ecuador,49,37,8,1,0,2
Austria,47,27,5,0,0,11
Australia,46,38,5,0,0,1
Panama,46,33,5,0,0,6
Croatia,45,46,4,0,0,8
Uzbekistan,45,29,4,0,0,3
Netherlands,44,43,3,0,0,8
Portugal,44,58,7,0,0,10
Congo DR,44,44,6,0,0,9
Sweden,43,50,5,0,0,9
Scotland,42,39,5,0,0,2
South Africa,38,46,5,2,0,8
Czechia,37,31,1,0,0,5
Qatar,36,28,4,2,0,4
Senegal,36,48,3,0,0,10
IR Iran,35,23,6,0,0,9
Curacao,32,31,7,0,0,5
New Zealand,32,23,4,0,0,4
Uruguay,31,29,5,1,0,14
Turkey,31,38,2,0,0,7
Jordan,31,23,4,0,0,3
Saudi Arabia,29,26,6,0,0,3
Algeria,29,40,3,0,0,4
Cote dIvoire / Ivory Coast,29,36,4,0,0,4
Cabo Verde,27,47,5,0,0,7
Iraq,27,31,4,1,0,1
Tunisia,27,34,1,0,0,9
Korea Republic,25,32,4,0,0,8
