Team,Group,FIFAConfederation,MatchesPlayed
Algeria,J,CAF,4
Argentina,J,CONMEBOL,8
Australia,D,AFC,4
Austria,J,UEFA,4
Belgium,G,UEFA,6
Bosnia and Herzegovina,B,UEFA,4
Brazil,C,CONMEBOL,5
Cabo Verde,H,CAF,4
Canada,B,CONCACAF,5
Colombia,K,CONMEBOL,5
Congo DR,K,CAF,4
Cote dIvoire / Ivory Coast,E,CAF,4
Croatia,L,UEFA,4
Curacao,E,CONCACAF,3
Czechia,A,UEFA,3
Ecuador,E,CONMEBOL,4
Egypt,G,CAF,5
England,L,UEFA,8
France,I,UEFA,8
Germany,E,UEFA,4
Ghana,L,CAF,4
Haiti,C,CONCACAF,3
IR Iran,G,AFC,3
Iraq,I,AFC,3
Japan,F,AFC,4
Jordan,J,AFC,3
Korea Republic,A,AFC,3
Mexico,A,CONCACAF,5
Morocco,C,CAF,6
Netherlands,F,UEFA,4
New Zealand,G,OFC,3
Norway,I,UEFA,6
Panama,L,CONCACAF,3
Paraguay,D,CONMEBOL,5
Portugal,K,UEFA,5
Qatar,B,AFC,3
Saudi Arabia,H,AFC,3
Scotland,C,UEFA,3
Senegal,I,CAF,4
South Africa,A,CAF,4
Spain,H,UEFA,8
Sweden,F,UEFA,4
Switzerland,B,UEFA,6
Tunisia,F,CAF,3
Turkey,D,UEFA,3
Uruguay,H,CONMEBOL,3
USA,D,CONCACAF,5
Uzbekistan,K,AFC,3
